Tail Turning on X_axis,Tail twisting on Y-axis,Tail-Main Distance,AOA of Main Wing,C_Fx,C_Fy,C_Fz,C_Tx,C_Ty,C_Tz,,,,,,,,,,,,
0,0,0,0,0.03045449,-0.105947012,0.285488446,-0.147834951,0.005917664,-0.000660135,,,0,0,0,-10,0.039375574,-0.141236204,0.00659978,-0.100198035,0.00123756,-0.002497676
0,0,0,0,0.031049024,-0.105575807,0.298758968,-0.14788648,0.006132793,-0.000824258,,,0,0,0,-10,0.039795038,-0.141800358,0.005779256,-0.099869581,0.000902796,-0.00248135
0,0,0,0,0.031102027,-0.105885063,0.306807453,-0.148141692,0.00576924,-0.000944264,,,0,0,0,-10,0.039471365,-0.140958366,0.007338994,-0.099517918,0.000994298,-0.002502143
0,0,0,-10,0.039375574,-0.141236204,0.00659978,-0.100198035,0.00123756,-0.002497676,,,0,0,0,0,0.03045449,-0.105947012,0.285488446,-0.147834951,0.005917664,-0.000660135
0,0,0,-10,0.039795038,-0.141800358,0.005779256,-0.099869581,0.000902796,-0.00248135,,,0,0,0,0,0.031049024,-0.105575807,0.298758968,-0.14788648,0.006132793,-0.000824258
0,0,0,-10,0.039471365,-0.140958366,0.007338994,-0.099517918,0.000994298,-0.002502143,,,0,0,0,0,0.031102027,-0.105885063,0.306807453,-0.148141692,0.00576924,-0.000944264
0,0,0,10,0.054155594,-0.174294122,0.517762837,-0.254555563,-0.005318341,0.000545579,,,0,0,0,10,0.054155594,-0.174294122,0.517762837,-0.254555563,-0.005318341,0.000545579
0,0,0,10,0.054137688,-0.173639254,0.515293012,-0.253853982,-0.005496071,0.000547764,,,0,0,0,10,0.054137688,-0.173639254,0.515293012,-0.253853982,-0.005496071,0.000547764
0,0,0,10,0.054272939,-0.174018658,0.515466204,-0.253899952,-0.005345285,0.000564053,,,0,0,0,10,0.054272939,-0.174018658,0.515466204,-0.253899952,-0.005345285,0.000564053
0,0,5,0,0.050975726,-0.060446491,0.324559192,-0.181686918,0.005101879,-0.00039275,,,0,0,5,-10,0.059479127,-0.109656067,0.025662075,-0.145501252,-0.001405428,-0.00155823
0,0,5,0,0.05100416,-0.060813518,0.326680112,-0.18177909,0.004938819,-0.000439817,,,0,0,5,-10,0.059232823,-0.109883904,0.025019327,-0.145414872,-0.001477255,-0.00151494
0,0,5,0,0.050910957,-0.061261938,0.327119556,-0.181935547,0.005204302,-0.000451988,,,0,0,5,-10,0.059426763,-0.110399468,0.023926095,-0.145577596,-0.001508711,-0.001524225
0,0,5,-10,0.059479127,-0.109656067,0.025662075,-0.145501252,-0.001405428,-0.00155823,,,0,0,5,0,0.050975726,-0.060446491,0.324559192,-0.181686918,0.005101879,-0.00039275
0,0,5,-10,0.059232823,-0.109883904,0.025019327,-0.145414872,-0.001477255,-0.00151494,,,0,0,5,0,0.05100416,-0.060813518,0.326680112,-0.18177909,0.004938819,-0.000439817
0,0,5,-10,0.059426763,-0.110399468,0.023926095,-0.145577596,-0.001508711,-0.001524225,,,0,0,5,0,0.050910957,-0.061261938,0.327119556,-0.181935547,0.005204302,-0.000451988
0,0,5,10,0.062513448,-0.150869464,0.537625067,-0.282741527,-0.006144096,0.001361602,,,0,0,5,10,0.062513448,-0.150869464,0.537625067,-0.282741527,-0.006144096,0.001361602
0,0,5,10,0.062427981,-0.151772765,0.5382787,-0.283263212,-0.005932742,0.001386332,,,0,0,5,10,0.062427981,-0.151772765,0.5382787,-0.283263212,-0.005932742,0.001386332
0,0,5,10,0.062598991,-0.152556312,0.540482502,-0.283515224,-0.006341436,0.001320011,,,0,0,5,10,0.062598991,-0.152556312,0.540482502,-0.283515224,-0.006341436,0.001320011
0,0,10,0,0.024233387,-0.126824263,0.248142479,-0.164558097,0.00754521,-0.000739127,,,0,0,10,-10,0.032852354,-0.171658733,-0.031304258,-0.136628087,-0.001560104,-0.001588945
0,0,10,0,0.02446122,-0.127701894,0.263742292,-0.164404185,0.007576611,-0.000729494,,,0,0,10,-10,0.032748383,-0.172352822,-0.030652634,-0.137350161,-0.001124708,-0.001663005
0,0,10,0,0.025430242,-0.128087917,0.270079944,-0.164959091,0.007611893,-0.000712207,,,0,0,10,-10,0.032231404,-0.173154608,-0.029793705,-0.137705948,-0.001012044,-0.001699395
0,0,10,-10,0.032852354,-0.171658733,-0.031304258,-0.136628087,-0.001560104,-0.001588945,,,0,0,10,0,0.024233387,-0.126824263,0.248142479,-0.164558097,0.00754521,-0.000739127
0,0,10,-10,0.032748383,-0.172352822,-0.030652634,-0.137350161,-0.001124708,-0.001663005,,,0,0,10,0,0.02446122,-0.127701894,0.263742292,-0.164404185,0.007576611,-0.000729494
0,0,10,-10,0.032231404,-0.173154608,-0.029793705,-0.137705948,-0.001012044,-0.001699395,,,0,0,10,0,0.025430242,-0.128087917,0.270079944,-0.164959091,0.007611893,-0.000712207
0,0,10,10,0.033344301,-0.208485261,0.540593445,-0.260802703,-0.00455515,0.001163197,,,0,0,10,10,0.033344301,-0.208485261,0.540593445,-0.260802703,-0.00455515,0.001163197
0,0,10,10,0.032689462,-0.209353792,0.541055887,-0.260777303,-0.004566042,0.00116135,,,0,0,10,10,0.032689462,-0.209353792,0.541055887,-0.260777303,-0.004566042,0.00116135
0,0,10,10,0.033216356,-0.209780666,0.540781315,-0.26086023,-0.004638235,0.001159658,,,0,0,10,10,0.033216356,-0.209780666,0.540781315,-0.26086023,-0.004638235,0.001159658
0,0,15,0,0.013974226,-0.135419441,0.291399456,-0.202439455,0.005942266,-0.000530937,,,0,0,15,-10,0.03015212,-0.184637474,-0.068138352,-0.208424754,-0.002495369,-0.000996364
0,0,15,0,0.01850688,-0.132641892,0.273954633,-0.224299712,0.00515415,-0.000352626,,,0,0,15,-10,0.030739109,-0.183564709,-0.068083953,-0.207943316,-0.002758367,-0.000958278
0,0,15,0,0.022221298,-0.134958582,0.254132684,-0.223450405,0.005940254,-0.000242581,,,0,0,15,-10,0.030563202,-0.183789616,-0.069654954,-0.208690317,-0.002407083,-0.000979173
0,0,15,-10,0.03015212,-0.184637474,-0.068138352,-0.208424754,-0.002495369,-0.000996364,,,0,0,15,0,0.013974226,-0.135419441,0.291399456,-0.202439455,0.005942266,-0.000530937
0,0,15,-10,0.030739109,-0.183564709,-0.068083953,-0.207943316,-0.002758367,-0.000958278,,,0,0,15,0,0.01850688,-0.132641892,0.273954633,-0.224299712,0.00515415,-0.000352626
0,0,15,-10,0.030563202,-0.183789616,-0.069654954,-0.208690317,-0.002407083,-0.000979173,,,0,0,15,0,0.022221298,-0.134958582,0.254132684,-0.223450405,0.005940254,-0.000242581
0,0,15,10,0.028853883,-0.216234393,0.5028053,-0.302946577,-0.005802642,0.001583842,,,0,0,15,10,0.028853883,-0.216234393,0.5028053,-0.302946577,-0.005802642,0.001583842
0,0,15,10,0.028271159,-0.216591127,0.499239083,-0.302096315,-0.006135272,0.001563646,,,0,0,15,10,0.028271159,-0.216591127,0.499239083,-0.302096315,-0.006135272,0.001563646
0,0,15,10,0.028676195,-0.2155758,0.503949916,-0.302212934,-0.005592674,0.001655699,,,0,0,15,10,0.028676195,-0.2155758,0.503949916,-0.302212934,-0.005592674,0.001655699
0,0,20,0,0.01044081,-0.141894681,0.262687501,-0.261045514,0.003766036,0.000178982,,,0,0,20,-10,0.019874868,-0.181863293,-0.07951938,-0.250819525,-0.003908057,-0.000587098
0,0,20,0,0.010098946,-0.142061163,0.264266256,-0.261064883,0.003761379,0.00020561,,,0,0,20,-10,0.019047557,-0.181807564,-0.0801247,-0.251030045,-0.00389112,-0.000583098
